product_id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
141792,Brown,Medium,135 mm,John Jacobs Computer Glasses,JJ E10118,4000,eyeframe,998,191,4.3,182,1329
141832,Transparent,Medium,137 mm,John Jacobs Computer Glasses,JJ E11820,4000,eyeframe,1154,223,4.3,154,761
143063,Purple,Wide,139 mm,Lenskart Air,LA E13406AF,1700,eyeframe,13,660,0.0,,317
143423,Black,Narrow,130 mm,John Jacobs Computer Glasses,JJ E13005,4000,eyeframe,1371,217,4.55,77,656
145395,,,,Clalen Iris,Clalen Iris Estelle Brown Zero Power Daily,399,contact_lens,34,69,0.0,,49981
145397,,,,Clalen Iris,Clalen Iris Astra Glitter Zero Power Daily,399,contact_lens,14,21,0.0,,49998
145406,,,,Clalen Iris,Clalen Iris Sunflower Gray Zero Power Monthly,249,contact_lens,6,146,0.0,,50000
147576,Purple,Wide,140 mm,John Jacobs Online,JJ E13929,3500,eyeframe,172,259,0.0,,206
147586,Black,Wide,140 mm,John Jacobs Online,JJ E13932,3500,eyeframe,303,224,0.0,,213
147585,White,Wide,140 mm,John Jacobs Online,JJ E13931,3500,eyeframe,109,72,0.0,,38
147597,Red,Wide,140 mm,John Jacobs Online,JJ S13934,3500,sunglasses,122,471,0.0,,7
148233,Maroon,Extra Wide,145 mm,John Jacobs Online,JJ S13997,3500,sunglasses,61,309,0.0,,23
150351,Silver,Medium,138 mm,John Jacobs,JJ E14306,3500,eyeframe,0,690,0.0,,750
150792,Transparent,Medium,136 mm,OJOS,OJ E14391,1700,eyeframe,0,135,0.0,,244
151488,Purple,Medium,135 mm,OJOS,OJ E14439,2000,eyeframe,0,226,4.65,3,23
152723,Tortoise,Extra Wide,146 mm,John Jacobs Online,JJ S14697,5000,sunglasses,0,1008,5.0,1,18
152886,Brown,Medium,135 mm,John Jacobs Online,JJ E12784,3500,eyeframe,0,1519,4.4,38,247
152923,Maroon,Wide,138 mm,OJOS,OJ E14721,1700,eyeframe,0,203,0.0,,28
153017,Gunmetal,Narrow,133 mm,OJOS,OJ E14717,1700,eyeframe,0,343,4.0,3,146
205637,Gold,Extra Wide,145 mm,OJOS,OJ S15229,2000,sunglasses,0,186,0.0,,29
206549,Yellow,Wide,143 mm,Lenskart Boost,LKB S15376,2000,sunglasses,0,488,0.0,,408
207023,Gunmetal,Extra Wide,149 mm,John Jacobs Online,JJ S15450,5000,sunglasses,0,120,0.0,,65
209253,Green,Extra Wide,142 mm,OJOS,OJ S15730,2000,sunglasses,0,44,0.0,,133
215913,Grey,Medium,135 mm,Lenskart Air,LA E16727,1700,eyeframe,0,646,0.0,,1568
216394,Blue,Medium,136 mm,Vincent Chase,VC E16787,1700,eyeframe,0,655,0.0,,1331
216511,Blue,Narrow,132 mm,Lenskart Air,LA E11411/N,3000,eyeframe,0,454,0.0,,744
216515,Blue,Wide,139 mm,Lenskart Air,LA E11415,3000,eyeframe,0,680,0.0,,513
126205,Silver,Medium,137 mm,John Jacobs Online,JJ E10227,3500,eyeframe,1849,546,4.0,6,130
141859,Gold,Wide,140 mm,John Jacobs Computer Glasses,JJ E11676,4000,eyeframe,1915,432,4.35,92,305
142148,Black,Medium,134 mm,John Jacobs Computer Glasses,JJ E10005,4000,eyeframe,497,132,4.25,194,3
142207,Black,Narrow,130 mm,John Jacobs Computer Glasses,JJ E12648,4000,eyeframe,2336,396,4.3,53,831
142974,Red,Wide,140 mm,Lenskart Air,LA E13386AF,1700,eyeframe,11,273,5.0,1,102
143409,Black,Extra Narrow,128 mm,John Jacobs Computer Glasses,JJ E12996,4000,eyeframe,1275,224,4.0,31,83
143740,Orange,Narrow,133 mm,Lenskart Air,LA E13512AF,1700,eyeframe,7,518,0.0,,65
144144,Black,Wide,139 mm,Lenskart Air,LA E13543AF,1700,eyeframe,0,546,0.0,,442
145399,,,,Clalen Iris,Clalen Iris Latin Zero Power Daily,249,contact_lens,6,22,0.0,,50000
145415,,,,Clalen Iris,Clalen Iris Joy Green Zero Power Monthly,249,contact_lens,15,35,0.0,,49998
145575,Transparent,2-5 yrs,114 mm,Hooper online,LKJ E10063,1000,eyeframe,142,870,4.5,4,74
145676,Transparent,8-12 yrs,125 mm,Hooper online,LKJ E10067,1000,eyeframe,369,1616,4.3,3,36
145677,Transparent,8-12 yrs,125 mm,Hooper online,LKJ E10067,1000,eyeframe,238,871,4.3,3,68
146580,Grey,Extra Narrow,143 mm,John Jacobs,JJ E14147AF,3000,eyeframe,12,72,0.0,,16
147614,Maroon,Extra Wide,149 mm,John Jacobs,JJ E13939,3500,eyeframe,31,183,0.0,,368
149488,Silver,Extra Wide,143 mm,John Jacobs,JJ E14195AF,3000,eyeframe,0,125,0.0,,38
