id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
209710,Gold,Narrow,130 mm,Vincent Chase Online,VC E15832,2000,eyeframe,0,2036,0.0,,16
206231,Gold Black,Medium,137 mm,John Jacobs,JJ E11678,3500,eyeframe,0,8381,4.5,140,1310
209329,Black,Narrow,135 mm,Vincent Chase Polarized,VC S15766,2000,sunglasses,0,970,0.0,,1060
213296,Gunmetal,Medium,139 mm,Vincent Chase Polarized,VC S16561,1500,sunglasses,0,1293,0.0,,3
219783,Crystal,Extra Narrow,126 mm,Vincent Chase,VC E13447,2000,eyeframe,0,580,0.0,,1465
148852,Gold,Narrow,131 mm,Fossil,FOS 7095,7000,eyeframe,271,3891,5.0,3,80
207043,Gold Black,Medium,135 mm,John Jacobs,JJ S15453,5000,sunglasses,0,3208,0.0,,1455
213208,Gold,Narrow,132 mm,Vincent Chase,VC S16527,2000,sunglasses,0,1595,0.0,,414
219786,Black Grey Transparent,Extra Wide,142 mm,Vincent Chase,VC E13496,2000,eyeframe,0,563,0.0,,1404
219784,Grey Transparent,Extra Narrow,126 mm,Vincent Chase,VC E13447,2000,eyeframe,0,519,0.0,,1504
213142,Black,Wide,140 mm,John Jacobs,JJ S16501,6000,sunglasses,0,1169,0.0,,418
215944,Tortoise,Medium,138 mm,Vincent Chase,VC S16732,2000,sunglasses,0,532,0.0,,851
216584,Greystone,Extra Narrow,125 mm,Lenskart Hustlr,HP E15011,2000,eyeframe,0,2134,5.0,1,438
211301,Gunmetal,Medium,136 mm,Vincent Chase,VC E10425,2000,eyeframe,0,737,0.0,,2139
150104,Black,Wide,139 mm,John Jacobs,JJ E14278,5000,eyeframe,0,2488,4.3,3,536
144926,Grey,Narrow,132 mm,John Jacobs Online,JJ E13588,3500,eyeframe,1316,11278,4.6,5,323
210462,Tortoise,Wide,141 mm,Vincent Chase,VC E13499,2000,eyeframe,0,653,0.0,,1357
215892,Black,Medium,135 mm,Lenskart Air,LA E16717,2000,eyeframe,0,495,0.0,,409
128544,Tortoise,Medium,135 mm,Vincent Chase,VC E11260,2000,eyeframe,7088,51669,4.45,452,3353
215249,Tortoise,Wide,142 mm,John Jacobs,JJ E16618,5000,eyeframe,0,899,0.0,,698
215331,Gold,Extra Wide,142 mm,John Jacobs,JJ S16631,5000,sunglasses,0,564,0.0,,688
215923,Dark Night,Extra Wide,144 mm,Lenskart Hustlr,LA E15417-W,2000,eyeframe,0,869,0.0,,9738
215951,Grey,Narrow,135 mm,Vincent Chase,VC S16734,2000,sunglasses,0,545,0.0,,818
150020,Black,5-8 yrs,120 mm,Hooper,HP E10014,1000,eyeframe,111,9084,5.0,7,480
200724,Silver,Medium,137 mm,Lenskart Air,LA E14859,2000,eyeframe,0,14561,4.65,21,551
137926,Grey,Wide,139 mm,John Jacobs Online,JJ E13027,3500,eyeframe,2284,4455,4.25,17,1016
