id,color,size,width,brand_name,model_name,market_price,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,offerName,qty,isCashbackApplicable
152361,Black,8-12 yrs,126 mm,Hooper Computer Glasses,HP D10101M,1500,1500,non_power_reading,0,139,0.0,,HOOPERKIDSCE,150,False
152434,Grey,5-8 yrs,123 mm,Hooper Computer Glasses,HP D10089L,1500,1500,non_power_reading,0,1681,4.0,2,HOOPEREYE,18,False
152351,Pink,8-12 yrs,134 mm,Hooper Computer Glasses,HP D10096L,1500,1500,non_power_reading,0,235,0.0,,HOOPERKIDSCE,146,False
152349,Black,8-12 yrs,136 mm,Hooper Computer Glasses,HP D10095L,1500,1500,non_power_reading,0,264,0.0,,HOOPERKIDSCE,106,False
152354,Black,8-12 yrs,138 mm,Hooper Computer Glasses,HP D10097L,1500,1500,non_power_reading,0,241,0.0,,HOOPERKIDSCE,111,False
152355,Red,8-12 yrs,130 mm,Hooper Computer Glasses,HP D10098L,1500,1500,non_power_reading,0,213,0.0,,HOOPERKIDSCE,99,False
152463,Black,5-8 yrs,124 mm,Hooper Computer Glasses,HP D10105M,1500,1500,non_power_reading,0,439,0.0,,HOOPERKIDSCE,21,False
152365,Grey,5-8 yrs,122 mm,Hooper Computer Glasses,HP D10104M,1500,1500,non_power_reading,0,459,0.0,,HOOPEREYE,28,False
152462,Black,8-12 yrs,125 mm,Hooper Computer Glasses,HP D10103M,1500,1500,non_power_reading,0,438,0.0,,HOOPERKIDSCE,16,False
152427,Black,5-8 yrs,121 mm,Hooper Computer Glasses,HP D10087M,1500,1500,non_power_reading,0,700,0.0,,HOOPERKIDSCE,26,False
151162,Gold,Extra Wide,136 mm,Lenskart Blu,LB E14484,2000,2000,non_power_reading,764,5354,4.5,26,LKBLUCE,1,False
